web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736665372-121;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain hamburger aux sés...;;4 pièces;2.490 DT
1736665372-122;https://www.geantdrive.tn/tunis-city/160-le-marche;Jambon de dinde;;100GR;2.190 DT
1736665372-123;https://www.geantdrive.tn/tunis-city/160-le-marche;Panini précuit;;5x120GR;2.590 DT
1736665372-124;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie en tranches;;16 Tranches-440g Aux...;2.600 DT
1736665372-125;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;430GR Complet;2.650 DT
1736665372-126;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain libanais (Raghif);;Ø27CM;2.650 DT
1736665372-127;https://www.geantdrive.tn/tunis-city/160-le-marche;Bettrave avec fanes;;Conditionné par 500g;2.650 DT/ Kg
1736665372-128;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie sandwich;;12 Tranches;2.680 DT
1736665372-129;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain sandwich;;5 Pièces Au sésame;2.690 DT
1736665372-130;https://www.geantdrive.tn/tunis-city/160-le-marche;Tabouna x5;;La barquette;2.700 DT
1736665372-131;https://www.geantdrive.tn/tunis-city/160-le-marche;Orange thompson sanguine;;Conditionné par 500g;2.710 DT/ Kg
1736665372-132;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain oriental (Raghif);;Le sachet;2.750 DT
1736665372-133;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain oriental complet ...;;Le sachet;2.750 DT
1736665372-134;https://www.geantdrive.tn/tunis-city/160-le-marche;Barquettes soirée;;20 Pièces;2.790 DT
1736665372-135;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain au fondant ou sch...;;La barquette;2.800 DT
1736665372-136;https://www.geantdrive.tn/tunis-city/160-le-marche;Chou rave;;Conditionné par 1KG;2.830 DT/ Kg
1736665372-137;https://www.geantdrive.tn/tunis-city/160-le-marche;Epinard;;Conditionné par 500g;2.880 DT/ Kg
1736665372-138;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de dinde;;250GR;2.880 DT
1736665372-139;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain aux noix x5;;La barquette;2.950 DT
1736665372-140;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;20 Pièces Aux céréales;2.980 DT
1736665372-141;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;Aux céréales 16 Pièces;2.980 DT
1736665372-142;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;18 Tranches Pour régime;2.990 DT
1736665372-143;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie complet;;14 Tranches;3.050 DT
1736665372-144;https://www.geantdrive.tn/tunis-city/160-le-marche;Tomate cocktail gourme...;;400GR;3.080 DT
1736665372-145;https://www.geantdrive.tn/tunis-city/160-le-marche;Barquettes rondes;;10 Pièces Moyen modèle;3.090 DT
1736665372-146;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de dinde extra;;300GR;3.150 DT
1736665372-147;https://www.geantdrive.tn/tunis-city/160-le-marche;Mille feuille aux frui...;;La barquette;3.200 DT
1736665372-148;https://www.geantdrive.tn/tunis-city/160-le-marche;Choux à la crème Choco...;;La barquette;3.200 DT
1736665372-149;https://www.geantdrive.tn/tunis-city/160-le-marche;Mille feuille Fondant ...;;La barquette;3.200 DT
1736665372-150;https://www.geantdrive.tn/tunis-city/160-le-marche;Choux à la crème Café x2;;La barquette;3.350 DT
1736665372-151;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini salami de dinde m...;;200GR;3.380 DT
1736665372-152;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain grillé;;200GR Nature;3.390 DT
