web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736667595-2941;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Coloration cache racine;LADY BELLA;100ML Blanc;15.790 DT
1736667595-2942;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;LILAS;300ML Suprême...;15.850 DT
1736667595-2943;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;LILAS;300ML Kératine Marron...;15.850 DT
1736667595-2944;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;LILAS;300ML Suprême...;15.850 DT
1736667595-2945;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;LILAS;300ML Camel Suprême...;15.850 DT
1736667595-2946;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;LILAS;300ML Doré Suprême...;15.850 DT
1736667595-2947;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on pour femme;NARTA;50ML Invisible zèro;15.890 DT
1736667595-2948;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on homme;NARTA;50ML Classique;15.890 DT
1736667595-2949;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on homme;NARTA;50ML Invisimax zèro;15.890 DT
1736667595-2950;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on pour femme;NARTA;50ML Invisible;15.890 DT
1736667595-2951;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on pour femme;NARTA;50ML Bio efficacité;15.890 DT
1736667595-2952;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on pour femme;NARTA;50ML Dermo efficacité;15.890 DT
1736667595-2953;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Eau de parfum pour femme;ORIENTAL;50ML Sultan outour;15.890 DT
1736667595-2954;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on pour femme;NARTA;50ML Protection 5;15.890 DT
1736667595-2955;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Roll-on homme;NARTA;50ML Protection 5;15.890 DT
1736667595-2956;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse pneumatique;TITANIA;Ref: 2822 22CM En bois...;15.950 DT
1736667595-2957;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Lot: Shampooing;HEAD & SHOULDERS;3x200ML Smooth silky...;15.980 DT
1736667595-2958;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Lot: Shampooing;HEAD & SHOULDERS;3x200ML Menthol Dont 1...;15.980 DT
1736667595-2959;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Lot: Shampooing;HEAD & SHOULDERS;3x200ML Itchy scalp...;15.980 DT
1736667595-2960;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Lot: Shampooing;HEAD & SHOULDERS;3x200ML Classique Dont...;15.980 DT
1736667595-2961;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Poudre compacte illumi...;KOLSI;N°52;15.990 DT
1736667595-2962;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Stick homme;GILLETTE;70ML Cool wave Gel x3;15.990 DT
1736667595-2963;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°1/0 So nature;15.990 DT
1736667595-2964;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse pour enfants;TITANIA;R/1305 Vert;15.990 DT
1736667595-2965;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;HUDA BEAUTY;400ML Caviar;15.990 DT
1736667595-2966;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Sérum capillaire;ASEPTIKA;50ML Huileux - Cheveux...;15.990 DT
1736667595-2967;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile remplacement;SUNSILK;300ML Shine strength;15.990 DT
1736667595-2968;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°10/0 So nature;15.990 DT
1736667595-2969;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Stick homme;GILLETTE;70ML 3x powr rush;15.990 DT
1736667595-2970;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°3/0 So nature;15.990 DT
1736667595-2971;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crayon sourcils;KOLSI;N°50 Blond;15.990 DT
1736667595-2972;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème pour corps;GLYSOLID;200ML;15.990 DT
1736667595-2973;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;RENEE BLANCHE;500ML Silver Cheveux...;15.990 DT
1736667595-2974;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;HUDA BEAUTY;400ML Collagène;15.990 DT
1736667595-2975;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile remplacement;SUNSILK;300ML Cocnut;15.990 DT
1736667595-2976;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse à cheveux;TITANIA;9 Rangés R/1632 Rouge;15.990 DT
1736667595-2977;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Set de 4 outils manicure;TITANIA;R1021;14.490 DT
1736667595-2978;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°6/1 So nature;15.990 DT
1736667595-2979;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Stick homme;GILLETTE;70ML Artic ice Gel x3;15.990 DT
1736667595-2980;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse cheveux;COOL CLEAN;9886MP;15.990 DT
1736667595-2981;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse sèche cheveux;VITABROSSE;;15.990 DT
1736667595-2982;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°4/0 So nature;15.990 DT
1736667595-2983;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;HUDA BEAUTY;400ML Kératine;15.990 DT
1736667595-2984;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Mascara zoom lashes;LELLA;N°60;15.990 DT
