web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736611785-213;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffins fourrés;BOLERIO;;0.700 DT
1736611785-214;https://www.geantdrive.tn/tunis-city/31-epicerie;Crème dessert;VANOISE;;0.700 DT
1736611785-215;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffins fourrés;BOLERIO;;0.700 DT
1736611785-216;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;WAVES MAD;;0.700 DT
1736611785-217;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;WAVES MAD;;0.700 DT
1736611785-218;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;MAD;;0.700 DT
1736611785-219;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffin's fourré;BOLERIO;;0.700 DT
1736611785-220;https://www.geantdrive.tn/tunis-city/31-epicerie;Crème dessert;VANOISE;;0.700 DT
1736611785-221;https://www.geantdrive.tn/tunis-city/31-epicerie;Crème dessert;VANOISE;;0.700 DT
1736611785-222;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;MAD;;0.700 DT
1736611785-223;https://www.geantdrive.tn/tunis-city/31-epicerie;Brownies;MOULIN D'OR;;0.660 DT
1736611785-224;https://www.geantdrive.tn/tunis-city/31-epicerie;Blondiz;MOULIN D'OR;;0.660 DT
1736611785-225;https://www.geantdrive.tn/tunis-city/31-epicerie;Brownies;MOULIN D'OR;;0.660 DT
1736611785-226;https://www.geantdrive.tn/tunis-city/31-epicerie;Couscous fin de blé co...;RANDA;;0.715 DT
1736611785-227;https://www.geantdrive.tn/tunis-city/31-epicerie;Couscous de blé complet;RANDA;;0.715 DT
1736611785-228;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;GOLDEN TWISTER;;0.720 DT
1736611785-229;https://www.geantdrive.tn/tunis-city/31-epicerie;Biscuits;PALETS SAIDA;;0.720 DT
1736611785-230;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;GOLDEN TWISTER;;0.720 DT
1736611785-231;https://www.geantdrive.tn/tunis-city/31-epicerie;Bonbon dragée;DANA;;0.720 DT
1736611785-232;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;GOLDEN;;0.720 DT
1736611785-233;https://www.geantdrive.tn/tunis-city/31-epicerie;Chips;GOLDEN TWISTER;;0.720 DT
1736611785-234;https://www.geantdrive.tn/tunis-city/31-epicerie;Crème;LA PÂTISSIERE;;0.720 DT
1736611785-235;https://www.geantdrive.tn/tunis-city/31-epicerie;Crème;LA PÂTISSIERE;;0.730 DT
1736611785-236;https://www.geantdrive.tn/tunis-city/31-epicerie;Barre de cake choco glory;MOULIN D'OR;;0.730 DT
1736611785-237;https://www.geantdrive.tn/tunis-city/31-epicerie;Tranche d'or;MOULIN D'OR;;0.750 DT
1736611785-238;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti intégrale;L'EPI D'OR;;0.750 DT
1736611785-239;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffins;BILINI;;0.750 DT
1736611785-240;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffins;BILINI;;0.750 DT
1736611785-241;https://www.geantdrive.tn/tunis-city/31-epicerie;Muffins;BILINI;;0.750 DT
1736611785-242;https://www.geantdrive.tn/tunis-city/31-epicerie;Spaghetti trouée;SANABEL CARTHAGE;;0.750 DT
1736611785-243;https://www.geantdrive.tn/tunis-city/31-epicerie;Crème;LA PÂTISSIERE;;0.750 DT
