web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736613405-753;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Apple 40;79.300 DT
1736613405-754;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Citrus 40;79.300 DT
1736613405-755;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Cranraz 40;79.300 DT
1736613405-756;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Currant 40;79.300 DT
1736613405-757;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;RICARD;100CL;79.990 DT
1736613405-758;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JAMESON;50CL;79.990 DT
1736613405-759;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SMIRNOFF;1 L Red;79.990 DT
1736613405-760;https://www.geantdrive.tn/tunis-city/10-boissons;Martini;ROSATO;1L;82.990 DT
1736613405-761;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;GRANT'S;1L Triple wood;83.490 DT
1736613405-762;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JOHNNIE WALKER;50CL Apeach;84.900 DT
1736613405-763;https://www.geantdrive.tn/tunis-city/10-boissons;Champagne;CYBELLE BLANC;75CL;79.900 DT
1736613405-764;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;MALIBU;1L;86.300 DT
1736613405-765;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;SAINT JAMES AMBRE;70CL;86.400 DT
1736613405-766;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge AOC;DOMAINE NEFERIS;75CL;87.900 DT
1736613405-767;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;RUSSIAN;1L Standard;90.990 DT
1736613405-768;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;J&B RARE;50CL;89.000 DT
1736613405-769;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;BOURGOGNE ALIGOTE;75CL RAPET 2017;92.890 DT
1736613405-770;https://www.geantdrive.tn/tunis-city/10-boissons;Gin;BICKENS;100CL;92.900 DT
1736613405-771;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;NORDIC;700ML;94.890 DT
1736613405-772;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;ELEGANCE;75CL Merlot;94.900 DT
1736613405-773;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;BLANC DE LISIENNES;75CL Entre 2 mères;94.900 DT
1736613405-774;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;ELEGANCE;75CL Cabernet sauvignon;94.900 DT
1736613405-775;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;ELEGANCE;75CL Syrah;94.900 DT
1736613405-776;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;75CL Gold;94.990 DT
1736613405-777;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;BLACK/WHITE;1 L;91.990 DT
1736613405-778;https://www.geantdrive.tn/tunis-city/10-boissons;Gin;GORDON;1 L;95.900 DT
1736613405-779;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;100CL;97.990 DT
1736613405-780;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SMIRNOFF BLUE;1L;91.990 DT
1736613405-781;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;1 L Mandrin;99.900 DT
1736613405-782;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;MONTAGNE NOIRE;75CL Chardonnay;99.900 DT
1736613405-783;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;1 L raspberri;99.900 DT
1736613405-784;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;1L Grapefruit;99.900 DT
1736613405-785;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;MONTAGNE NOIRE;75CL Syrah;99.900 DT
1736613405-786;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;100CL Limo;99.900 DT
1736613405-787;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;GRANT'S;70CL Triple wood 40D;99.900 DT
