web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736617915-114;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée milkshake;DELICE;220GR Vanille;1.050 DT
1736617915-115;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;BLENDY;120GR Quinoa. ananas...;1.120 DT
1736617915-116;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert à boire;PLAISIR;170GR Café;1.140 DT
1736617915-117;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème dessert à boire;PLAISIR;170GR Chocolat;1.140 DT
1736617915-118;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE;120 GR Poire graine de...;1.140 DT
1736617915-119;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE DANONE;120GR Céréales....;1.140 DT
1736617915-120;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE DANONE;120GR...;1.140 DT
1736617915-121;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruit et lait;VITALIO;250ML Pêche/Abricot;1.150 DT
1736617915-122;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;TARTI FRO;100GR;1.150 DT
1736617915-123;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruit et lait;VITALIO;250ML 5 Fruits;1.150 DT
1736617915-124;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruits et lait;DANAO;250ML Pêche-Abricot;1.150 DT
1736617915-125;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Jus de fruits et lait;DANAO;250ML Mangue-Pomme-Kiwi;1.150 DT
1736617915-126;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à la grecque;OIKOS;100GR Gourmand-Banoffee;1.190 DT
1736617915-127;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Vanille;1.200 DT
1736617915-128;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;260GR Vanille;1.050 DT
1736617915-129;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Tropical;1.200 DT
1736617915-130;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;260GR Fraise;1.050 DT
1736617915-131;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Pêche-Melba;1.200 DT
1736617915-132;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;NATILAIT;260GR Céréales/Fruits;1.050 DT
1736617915-133;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR...;1.200 DT
1736617915-134;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DANUP;260GR Fraise;1.200 DT
1736617915-135;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUP;270GR Pinacolada MAX;1.210 DT
1736617915-136;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;VITUP;260GR Vanille MAX;1.210 DT
1736617915-137;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;Y'AB;260GR Fraise;1.250 DT
1736617915-138;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait 1/2 écrémé;VITALAIT;1 L;1.300 DT
1736617915-139;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait UHT 1/2 écrémé;DELICE;1 L;1.350 DT
1736617915-140;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait 1/2 écrémé;NATILAIT;1 L;1.350 DT
1736617915-141;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Margarine;GOLDINA;100GR;1.360 DT
1736617915-142;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Margarine;JADIDA;100GR;1.380 DT
1736617915-143;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage fondu;PRESIDENT;43GR Goûter max;1.410 DT
1736617915-144;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;TARTI FRO;8 Portions;1.420 DT
1736617915-145;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage fondu maxi;PRESIDENT;40GR;1.460 DT
1736617915-146;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lben;VITALAIT;450GR;1.490 DT
1736617915-147;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Raieb;DELICE;450GR;1.490 DT
1736617915-148;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Raieb;VITALAIT;450GR;1.490 DT
1736617915-149;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Raieb;NATILAIT;350GR;1.490 DT
1736617915-150;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lben;DELICE;450GR;1.490 DT
1736617915-151;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Boisson lactée;DELICE;450GR Wake up-Chocolat;1.520 DT
1736617915-152;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Glace big 3en1;IGLOO;90ML;1.590 DT
1736617915-153;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lben;NATILAIT;420GR;1.600 DT
1736617915-154;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;DAILY;8 portions;1.720 DT
1736617915-155;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière;NATILAIT;350GR Fruit de bois Maxi;1.650 DT
1736617915-156;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DELICE;330GR Vanille Max;1.760 DT
1736617915-157;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière;NATILAIT;350GR Vanille Maxi;1.650 DT
1736617915-158;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière br...;NATILAI;70 GR Maxi peche abricot;1.650 DT
1736617915-159;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DELICE;330GR Fruits de bois Max;1.760 DT
1736617915-160;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière;NATILAIT;350GR Maxi banane;1.650 DT
1736617915-161;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Spécialité laitière;NATILAIT;350GR Fraise Maxi;1.650 DT
1736617915-162;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;DELICE;330GR Fraise Max;1.760 DT
1736617915-163;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;TIP TOP;350GR Pêche-Abricot;1.770 DT
1736617915-164;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt à boire;TIP TOP;380GR Fraise;1.770 DT
1736617915-165;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lben probiotique;NATILAIT;420GR;1.780 DT
1736617915-166;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;LEDOUX;100GR Spécial tajine;1.800 DT
1736617915-167;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;LEDOUX;100GR Spécial pizza;1.800 DT
1736617915-168;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème fraîche;DELICE;145GR Spécialité top chef;1.930 DT
1736617915-169;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;MAJESTE;120GR Pizzatella;1.990 DT
1736617915-170;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;DAILY;5 Tranches Au cheddar;2.060 DT
1736617915-171;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage rapé;PRESIDENT;50GR;2.070 DT
1736617915-172;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Glaçon alimentaire;SOPRAC;2KG Purifié;2.150 DT
1736617915-173;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;FROMY;110GR;2.190 DT
1736617915-174;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;FROMY;110GR;2.190 DT
1736617915-175;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème fraîche;DELICE;15CL;2.290 DT
1736617915-176;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait UHT enrichi;DELISSO;1 L;2.300 DT
1736617915-177;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait écremé 0%;DELICE;1L;2.300 DT
1736617915-178;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage slice burger;FROMY;75GR-5 Tranches Au...;2.340 DT
1736617915-179;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Lait UHT;DELICE;1L Barista;2.350 DT
1736617915-180;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème fraîche;NATILAIT;15CL;2.380 DT
1736617915-181;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage slice burger a...;PRESIDENT;5 tranches;2.420 DT
1736617915-182;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage slice pizza;PRESIDENT;5 tranches;2.420 DT
1736617915-183;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème fraîche;VITALAIT;15CL Epaisse;2.450 DT
1736617915-184;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Crème fraîche;DELICE;20CL 170X90CM;2.480 DT
1736617915-185;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;FROMY;130GR;2.490 DT
1736617915-186;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Margarine;GOLDINA;200GR;2.550 DT
1736617915-187;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Matière grasse composée;SAVOUREUSE;200GR;2.550 DT
1736617915-188;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Margarine;JADIDA;200GR;2.560 DT
1736617915-189;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Yaourt;DELICE DANONE;150GR Granola-Chocolat...;2.580 DT
1736617915-190;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Fromage slice croque'e...;PRESIDENT;5 tranches;2.600 DT
1736617915-191;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Margarine allégée;JADIDA;200GR;2.600 DT
1736617915-192;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Préparation alimentair...;SOUANI;130GR;2.690 DT
1736617915-193;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Barre glacée;LONDON DAIRY;75ML;2.790 DT
1736617915-194;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Barre glacée;LONDON DAIRY;75ML;2.790 DT
1736617915-195;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Glace;PANAME;120ML Chocolat liègeois;2.850 DT
1736617915-196;https://www.geantdrive.tn/tunis-city/130-cremerie-et-surgele;Glace;PANAME;120ML Plaisir envie de...;2.850 DT
